"Date","Price","Open","High","Low","Vol.","Change %"
"05-01-2010","7,635.35","7,602.80","7,643.85","7,588.60","119.40M","1.42%"
"04-01-2010","7,528.50","7,460.30","7,539.60","7,446.35","86.24M","1.29%"
"31-12-2009","7,432.80","7,460.35","7,476.70","7,424.90","90.62M","0.19%"
"30-12-2009","7,418.55","7,430.75","7,451.50","7,410.70","64.08M","0.06%"
"29-12-2009","7,413.90","7,406.45","7,437.10","7,390.95","73.24M","0.28%"
"24-12-2009","7,392.85","7,387.40","7,413.10","7,360.90","75.47M","0.70%"
"23-12-2009","7,341.60","7,251.95","7,346.70","7,251.95","80.95M","1.61%"
"22-12-2009","7,225.20","7,208.85","7,247.05","7,204.45","65.14M","0.94%"
"21-12-2009","7,158.10","7,211.90","7,236.70","7,152.15","68.16M","-0.31%"
"18-12-2009","7,180.40","7,231.30","7,268.60","7,163.80","87.85M","-0.80%"
"17-12-2009","7,238.60","7,183.70","7,251.15","7,178.40","81.92M","0.86%"
"16-12-2009","7,176.90","7,152.10","7,191.80","7,106.75","83.62M","0.29%"
"15-12-2009","7,156.00","7,304.45","7,305.75","7,144.40","88.21M","-1.55%"
"14-12-2009","7,268.50","7,322.70","7,348.25","7,253.75","81.44M","-0.67%"
"11-12-2009","7,317.75","7,416.65","7,423.00","7,300.00","105.86M","-0.63%"
"10-12-2009","7,363.95","7,342.40","7,374.05","7,331.55","102.76M","0.38%"
"09-12-2009","7,336.10","7,349.40","7,403.75","7,322.90","92.84M","-0.67%"
"08-12-2009","7,385.75","7,313.45","7,388.15","7,308.10","103.45M","1.26%"
"07-12-2009","7,294.10","7,363.65","7,393.90","7,281.15","91.72M","-0.78%"
"04-12-2009","7,351.80","7,332.40","7,391.55","7,322.90","92.54M","0.02%"
"03-12-2009","7,350.60","7,349.40","7,412.30","7,315.80","117.92M","0.59%"
"02-12-2009","7,307.20","7,333.20","7,351.30","7,293.60","127.73M","0.52%"
"01-12-2009","7,269.10","7,204.65","7,274.85","7,201.15","97.70M","1.68%"
"30-11-2009","7,149.20","7,142.15","7,189.55","7,126.30","79.63M","1.59%"
"27-11-2009","7,037.00","6,992.70","7,049.15","6,853.05","109.97M","-1.49%"
"26-11-2009","7,143.75","7,253.85","7,256.40","7,132.80","124.08M","-1.21%"
"25-11-2009","7,231.55","7,263.35","7,315.40","7,215.85","102.65M","0.01%"
"24-11-2009","7,230.90","7,216.85","7,262.20","7,177.85","136.61M","0.52%"
"23-11-2009","7,193.70","7,210.70","7,210.70","7,161.10","106.67M","0.44%"
"20-11-2009","7,162.25","7,056.60","7,174.20","7,011.00","125.64M","1.12%"
"19-11-2009","7,082.70","7,205.90","7,228.10","7,045.75","125.88M","-1.48%"
"18-11-2009","7,189.30","7,171.20","7,228.40","7,171.20","93.40M","0.33%"
"17-11-2009","7,165.40","7,189.15","7,218.20","7,122.55","92.44M","-0.15%"
"16-11-2009","7,176.20","7,161.45","7,204.25","7,161.45","97.41M","1.11%"
"13-11-2009","7,097.60","7,050.15","7,124.95","7,050.15","100.28M","0.69%"
"12-11-2009","7,049.20","7,140.20","7,171.80","7,022.10","120.62M","-1.39%"
"11-11-2009","7,148.25","7,022.95","7,152.20","7,001.40","133.64M","2.15%"
"10-11-2009","6,997.75","7,036.60","7,057.15","6,957.80","150.38M","0.32%"
"09-11-2009","6,975.55","6,892.60","6,985.05","6,861.25","117.07M","2.03%"
"06-11-2009","6,836.50","6,751.70","6,857.25","6,751.70","138.01M","2.17%"
"05-11-2009","6,691.55","6,578.05","6,698.30","6,539.35","116.38M","2.00%"
"04-11-2009","6,560.35","6,446.95","6,583.70","6,401.80","106.43M","2.75%"
"03-11-2009","6,384.90","6,558.05","6,584.80","6,370.85","121.90M","-2.96%"
"30-10-2009","6,579.80","6,704.30","6,784.85","6,559.75","143.66M","0.04%"
"29-10-2009","6,577.45","6,540.45","6,655.00","6,539.25","169.29M","-1.25%"
"28-10-2009","6,660.85","6,604.30","6,696.60","6,519.60","145.06M","0.58%"
"27-10-2009","6,622.70","6,781.20","6,817.20","6,593.40","156.55M","-3.68%"
"26-10-2009","6,875.80","6,996.50","7,008.30","6,864.35","140.63M","-1.61%"
"23-10-2009","6,988.35","7,024.60","7,058.95","6,963.25","124.03M","1.07%"
"22-10-2009","6,914.25","7,025.65","7,073.05","6,880.85","132.11M","-1.74%"
"21-10-2009","7,036.35","7,156.55","7,176.40","7,017.45","126.99M","-1.88%"
"20-10-2009","7,171.45","7,191.45","7,230.00","7,150.90","152.05M","0.04%"
"17-10-2009","7,168.60","7,172.20","7,180.55","7,150.90","37.93M","0.55%"
"16-10-2009","7,129.05","7,045.20","7,138.10","7,036.05","158.97M","1.36%"
"15-10-2009","7,033.40","7,065.85","7,067.75","6,993.45","153.90M","0.51%"
"14-10-2009","6,997.80","6,918.50","7,009.60","6,918.50","160.80M","2.08%"
"12-10-2009","6,855.15","6,776.60","6,861.75","6,776.60","104.45M","1.57%"
"09-10-2009","6,749.25","6,816.65","6,843.80","6,736.45","112.35M","-0.31%"
"08-10-2009","6,770.55","6,767.90","6,825.00","6,745.65","120.63M","0.67%"
"07-10-2009","6,725.70","6,678.55","6,794.75","6,678.55","153.17M","1.69%"
"06-10-2009","6,613.90","6,648.75","6,659.50","6,482.85","112.51M","0.25%"
"05-10-2009","6,597.55","6,644.90","6,691.50","6,588.30","96.07M","-1.50%"
"01-10-2009","6,698.10","6,729.55","6,745.30","6,686.65","100.57M","-0.23%"
"30-09-2009","6,713.30","6,669.65","6,715.65","6,666.65","136.49M","1.00%"
"29-09-2009","6,646.90","6,669.55","6,685.65","6,635.55","107.12M","0.61%"
"25-09-2009","6,606.65","6,558.20","6,647.35","6,557.05","179.44M","0.32%"
"24-09-2009","6,585.90","6,486.90","6,596.85","6,477.80","165.19M","0.68%"
"23-09-2009","6,541.65","6,631.60","6,634.10","6,528.05","135.11M","-0.97%"
"22-09-2009","6,605.80","6,589.35","6,622.10","6,575.20","106.61M","0.63%"
"18-09-2009","6,564.40","6,518.55","6,569.15","6,502.55","142.80M","0.53%"
"17-09-2009","6,529.50","6,533.25","6,555.90","6,451.05","181.67M","0.68%"
"16-09-2009","6,485.25","6,419.65","6,492.50","6,419.65","147.33M","1.43%"
"15-09-2009","6,394.05","6,288.55","6,398.65","6,288.55","142.62M","2.33%"
"14-09-2009","6,248.65","6,227.90","6,259.40","6,184.70","114.81M","0.30%"
"11-09-2009","6,230.05","6,250.55","6,283.00","6,175.70","137.34M","0.18%"
"10-09-2009","6,219.00","6,244.50","6,308.55","6,204.05","128.88M","0.04%"
