"Date","Price","Open","High","Low","Vol.","Change %"
"20-05-2024","202,041","201,189","204,021","200,564","","0.46%"
"17-05-2024","201,112","198,357","201,843","198,218","","1.43%"
"16-05-2024","198,279","199,044","199,997","197,910","","-0.36%"
"15-05-2024","198,997","196,872","199,404","196,336","","1.13%"
"14-05-2024","196,772","195,005","197,035","194,942","","0.93%"
"13-05-2024","194,960","197,394","197,579","194,771","","-1.12%"
"10-05-2024","197,169","195,815","198,633","195,723","","0.71%"
"09-05-2024","195,775","192,690","195,903","192,594","","1.64%"
"08-05-2024","192,614","193,152","193,840","192,391","","-0.27%"
"07-05-2024","193,132","194,039","194,485","192,867","","-0.43%"
"06-05-2024","193,976","191,985","194,739","191,092","","1.04%"
"03-05-2024","191,976","192,279","193,523","189,972","","-0.08%"
"02-05-2024","192,126","193,588","194,157","190,749","","-0.73%"
"01-05-2024","193,545","190,804","194,345","190,430","","1.47%"
"30-04-2024","190,744","194,868","195,000","190,712","","-2.08%"
"29-04-2024","194,788","195,076","195,892","193,432","","-0.07%"
"26-04-2024","194,934","194,303","196,065","193,788","","0.35%"
"25-04-2024","194,245","192,981","195,272","192,115","","0.68%"
"24-04-2024","192,933","193,427","194,780","192,605","","-0.21%"
"23-04-2024","193,333","194,018","194,671","190,971","","-0.32%"
"22-04-2024","193,945","199,141","199,184","193,860","","-2.71%"
"19-04-2024","199,341","198,748","202,183","197,975","","0.32%"
"18-04-2024","198,703","197,292","199,915","197,292","","0.69%"
"17-04-2024","197,346","199,360","200,433","197,009","","-0.96%"
"16-04-2024","199,256","199,013","200,656","197,362","","0.20%"
"15-04-2024","198,858","195,865","199,392","194,100","","1.59%"
"12-04-2024","195,750","197,654","203,243","195,032","","-0.96%"
"11-04-2024","197,643","194,593","198,150","193,933","","1.58%"
"10-04-2024","194,560","195,747","196,428","193,405","","-0.58%"
"09-04-2024","195,692","194,803","196,860","194,537","","0.49%"
"08-04-2024","194,747","193,470","196,047","191,875","","0.37%"
"05-04-2024","194,024","190,950","194,165","189,252","","1.66%"
"04-04-2024","190,854","192,037","192,342","190,084","","-0.58%"
"03-04-2024","191,971","190,050","192,176","189,170","","1.05%"
"02-04-2024","189,973","187,757","190,134","187,303","","1.22%"
"01-04-2024","187,693","186,733","188,889","185,833","","0.87%"
"29-03-2024","186,069","186,219","186,268","186,078","","-0.06%"
"28-03-2024","186,174","182,870","186,428","182,345","","1.86%"
"27-03-2024","182,768","181,566","183,176","181,191","","0.71%"
"26-03-2024","181,483","181,177","183,284","180,721","","0.20%"
"25-03-2024","181,117","181,032","182,078","180,607","","0.09%"
"22-03-2024","180,954","181,485","182,050","180,204","","-0.24%"
"21-03-2024","181,391","181,895","184,946","180,266","","-0.22%"
"20-03-2024","181,799","179,150","182,117","178,866","","1.53%"
"19-03-2024","179,056","179,132","179,469","178,178","","0.00%"
"18-03-2024","179,059","178,706","179,376","177,799","","0.22%"
"15-03-2024","178,658","179,374","180,141","178,639","","-0.33%"
"14-03-2024","179,249","180,117","180,349","178,526","","-0.41%"
"13-03-2024","179,988","178,683","180,581","178,555","","0.74%"
"12-03-2024","178,662","180,583","180,775","178,061","","-1.03%"
"11-03-2024","180,530","180,192","181,145","179,911","","0.21%"
"08-03-2024","180,145","178,676","181,664","178,225","","0.90%"
"07-03-2024","178,538","177,895","179,048","177,610","","0.41%"
