"Date","Price","Open","High","Low","Change %"
"Nov 14, 2018","18.212","18.212","18.212","18.212","-0.05%"
"Nov 13, 2018","18.222","18.222","18.222","18.222","0.95%"
"Nov 12, 2018","18.050","18.050","18.050","18.050","-0.98%"
"Nov 09, 2018","18.228","18.228","18.228","18.228","0.52%"
"Nov 08, 2018","18.133","18.133","18.133","18.133","0.00%"
"Nov 07, 2018","18.133","18.133","18.133","18.133","0.00%"
"Nov 06, 2018","18.133","18.133","18.133","18.133","0.06%"
"Nov 05, 2018","18.123","18.123","18.123","18.123","-0.27%"
"Nov 02, 2018","18.172","18.172","18.172","18.172","1.66%"
"Nov 01, 2018","17.876","17.876","17.876","17.876","-0.04%"
"Oct 31, 2018","17.884","17.884","17.884","17.884","1.84%"
"Oct 30, 2018","17.561","17.561","17.561","17.561","-0.51%"
"Oct 29, 2018","17.651","17.651","17.651","17.651","2.19%"
"Oct 26, 2018","17.272","17.272","17.272","17.272","-0.93%"
"Oct 25, 2018","17.435","17.435","17.435","17.435","-0.89%"
"Oct 24, 2018","17.591","17.591","17.591","17.591","0.77%"
"Oct 23, 2018","17.457","17.457","17.457","17.457","-0.95%"
"Oct 22, 2018","17.624","17.624","17.624","17.624","-0.56%"
"Oct 19, 2018","17.724","17.724","17.724","17.724","-1.43%"
"Oct 18, 2018","17.981","17.981","17.981","17.981","0.00%"
"Oct 17, 2018","17.981","17.981","17.981","17.981","-1.25%"
"Oct 16, 2018","18.208","18.208","18.208","18.208","0.69%"
"Oct 15, 2018","18.084","18.084","18.084","18.084","0.38%"
"Oct 12, 2018","18.016","18.016","18.016","18.016","2.32%"
"Oct 11, 2018","17.608","17.608","17.608","17.608","-2.15%"
"Oct 10, 2018","17.995","17.995","17.995","17.995","1.53%"
"Oct 09, 2018","17.723","17.723","17.723","17.723","-0.45%"
"Oct 08, 2018","17.804","17.804","17.804","17.804","0.30%"
"Oct 05, 2018","17.750","17.750","17.750","17.750","-2.66%"
"Oct 04, 2018","18.235","18.235","18.235","18.235","-2.38%"
"Oct 03, 2018","18.679","18.679","18.679","18.679","-1.36%"
"Oct 02, 2018","18.937","18.937","18.937","18.937","0.00%"
"Oct 01, 2018","18.937","18.937","18.937","18.937","0.71%"
"Sep 28, 2018","18.804","18.804","18.804","18.804","-0.42%"
"Sep 27, 2018","18.884","18.884","18.884","18.884","-0.69%"
"Sep 26, 2018","19.015","19.015","19.015","19.015","-0.12%"
"Sep 25, 2018","19.038","19.038","19.038","19.038","0.91%"
"Sep 24, 2018","18.867","18.867","18.867","18.867","-1.58%"
"Sep 21, 2018","19.169","19.169","19.169","19.169","-0.81%"
"Sep 20, 2018","19.325","19.325","19.325","19.325","0.00%"
"Sep 19, 2018","19.325","19.325","19.325","19.325","-0.39%"
"Sep 18, 2018","19.400","19.400","19.400","19.400","-0.87%"
"Sep 17, 2018","19.570","19.570","19.570","19.570","-1.19%"
"Sep 14, 2018","19.805","19.805","19.805","19.805","1.27%"
"Sep 13, 2018","19.557","19.557","19.557","19.557","0.00%"
"Sep 12, 2018","19.557","19.557","19.557","19.557","0.73%"
"Sep 11, 2018","19.415","19.415","19.415","19.415","-1.32%"
"Sep 10, 2018","19.674","19.674","19.674","19.674","-1.28%"
"Sep 07, 2018","19.930","19.930","19.930","19.930","0.45%"
"Sep 06, 2018","19.841","19.841","19.841","19.841","0.54%"
"Sep 05, 2018","19.735","19.735","19.735","19.735","-0.37%"
"Sep 04, 2018","19.809","19.809","19.809","19.809","-0.54%"
"Sep 03, 2018","19.916","19.916","19.916","19.916","-0.84%"
"Aug 31, 2018","20.085","20.085","20.085","20.085","0.05%"
"Aug 30, 2018","20.075","20.075","20.075","20.075","-0.13%"
"Aug 29, 2018","20.101","20.101","20.101","20.101","-0.39%"
"Aug 28, 2018","20.180","20.180","20.180","20.180","0.39%"
"Aug 27, 2018","20.101","20.101","20.101","20.101","1.16%"
"Aug 24, 2018","19.870","19.870","19.870","19.870","-0.20%"
"Aug 23, 2018","19.910","19.910","19.910","19.910","0.10%"
"Aug 22, 2018","19.890","19.890","19.890","19.890","0.00%"
"Aug 21, 2018","19.890","19.890","19.890","19.890","0.16%"
"Aug 20, 2018","19.858","19.858","19.858","19.858","0.71%"
"Aug 17, 2018","19.718","19.718","19.718","19.718","0.75%"
"Aug 16, 2018","19.571","19.571","19.571","19.571","-0.44%"
"Aug 15, 2018","19.657","19.657","19.657","19.657","0.00%"
"Aug 14, 2018","19.657","19.657","19.657","19.657","0.76%"
"Aug 13, 2018","19.508","19.508","19.508","19.508","-0.64%"
"Aug 10, 2018","19.633","19.633","19.633","19.633","-0.36%"
"Aug 09, 2018","19.703","19.703","19.703","19.703","0.18%"
