"Index Name","Date","Open","High","Low","Close"
"NIFTY 10 YR BENCHMARK G-SEC","16 Feb 2018","1578.52","1579.01","1575.55","1577.47"
"NIFTY 10 YR BENCHMARK G-SEC","15 Feb 2018","1586.58","1586.58","1574.02","1578.21"
"NIFTY 10 YR BENCHMARK G-SEC","14 Feb 2018","1585.78","1591.41","1584.37","1586.27"
"NIFTY 10 YR BENCHMARK G-SEC","12 Feb 2018","1585.78","1590.61","1581.92","1585.14"
"NIFTY 10 YR BENCHMARK G-SEC","09 Feb 2018","1587.31","1589.17","1581.44","1584.81"
"NIFTY 10 YR BENCHMARK G-SEC","08 Feb 2018","1579.99","1586.99","1579.99","1586.99"
"NIFTY 10 YR BENCHMARK G-SEC","07 Feb 2018","1575.64","1582.08","1572.42","1579.68"
"NIFTY 10 YR BENCHMARK G-SEC","06 Feb 2018","1571.3","1580.64","1570.65","1575.32"
"NIFTY 10 YR BENCHMARK G-SEC","05 Feb 2018","1575.64","1575.64","1569.36","1570.98"
"NIFTY 10 YR BENCHMARK G-SEC","02 Feb 2018","1570.02","1582.89","1562","1574.68"
"NIFTY 10 YR BENCHMARK G-SEC","01 Feb 2018","1588.85","1593.85","1569.7","1569.70"
"NIFTY 10 YR BENCHMARK G-SEC","31 Jan 2018","1588.05","1592.08","1587.49","1588.54"
"NIFTY 10 YR BENCHMARK G-SEC","30 Jan 2018","1586.84","1589.98","1582.9","1587.74"
"NIFTY 10 YR BENCHMARK G-SEC","29 Jan 2018","1601.9","1603.83","1586.84","1586.84"
"NIFTY 10 YR BENCHMARK G-SEC","25 Jan 2018","1604","1604","1596.75","1600.62"
"NIFTY 10 YR BENCHMARK G-SEC","24 Jan 2018","1606.33","1608.19","1603.4","1603.69"
"NIFTY 10 YR BENCHMARK G-SEC","23 Jan 2018","1604.69","1607.02","1600.62","1606.02"
"NIFTY 10 YR BENCHMARK G-SEC","22 Jan 2018","1601.11","1605.29","1598.21","1604.37"
"NIFTY 10 YR BENCHMARK G-SEC","19 Jan 2018","1604.08","1605.13","1599.86","1600.16"
"NIFTY 10 YR BENCHMARK G-SEC","18 Jan 2018","1607.88","1607.88","1601.43","1603.77"
"NIFTY 10 YR BENCHMARK G-SEC","17 Jan 2018","1589.51","1609.32","1589.51","1607.56"
"NIFTY 10 YR BENCHMARK G-SEC","16 Jan 2018","1601.6","1601.6","1587.43","1589.20"
"NIFTY 10 YR BENCHMARK G-SEC","15 Jan 2018","1599.96","1602.11","1598.47","1601.29"
"NIFTY 10 YR BENCHMARK G-SEC","12 Jan 2018","1601.01","1601.59","1599.01","1599.01"
"NIFTY 10 YR BENCHMARK G-SEC","11 Jan 2018","1600.2","1604.83","1598.46","1600.70"
"NIFTY 10 YR BENCHMARK G-SEC","10 Jan 2018","1607.75","1607.75","1599.9","1599.90"
"NIFTY 10 YR BENCHMARK G-SEC","09 Jan 2018","1609.91","1610.66","1606.36","1607.44"
"NIFTY 10 YR BENCHMARK G-SEC","08 Jan 2018","1615.64","1617.29","1609.61","1609.61"
"NIFTY 10 YR BENCHMARK G-SEC","05 Jan 2018","1609.99","1614.69","1608.75","1614.69"
"NIFTY 10 YR BENCHMARK G-SEC","04 Jan 2018","1610.76","1610.76","1606.12","1609.68"
"NIFTY 10 YR BENCHMARK G-SEC","03 Jan 2018","1603.65","1610.45","1599.52","1610.45"
"NIFTY 10 YR BENCHMARK G-SEC","02 Jan 2018","1608.48","1608.48","1601.73","1603.35"
"NIFTY 10 YR BENCHMARK G-SEC","01 Jan 2018","1608.99","1610.89","1605.35","1608.17"
"NIFTY 10 YR BENCHMARK G-SEC","29 Dec 2017","1601.08","1615.27","1600.43","1608.36"
"NIFTY 10 YR BENCHMARK G-SEC","28 Dec 2017","1619.96","1619.96","1600.78","1600.78"
"NIFTY 10 YR BENCHMARK G-SEC","27 Dec 2017","1613.53","1619.65","1610.22","1619.65"
"NIFTY 10 YR BENCHMARK G-SEC","26 Dec 2017","1613.71","1615.04","1610.08","1613.23"
"NIFTY 10 YR BENCHMARK G-SEC","25 Dec 2017","-","-","-","1613.41"
"NIFTY 10 YR BENCHMARK G-SEC","22 Dec 2017","1618.58","1619.75","1609.99","1612.45"
"NIFTY 10 YR BENCHMARK G-SEC","21 Dec 2017","1617.78","1618.28","1610.17","1618.28"
"NIFTY 10 YR BENCHMARK G-SEC","20 Dec 2017","1621.93","1621.93","1617.48","1617.48"
"NIFTY 10 YR BENCHMARK G-SEC","19 Dec 2017","1621.29","1623.44","1619.64","1621.62"
"NIFTY 10 YR BENCHMARK G-SEC","18 Dec 2017","1626.03","1626.03","1616.43","1620.99"
"NIFTY 10 YR BENCHMARK G-SEC","15 Dec 2017","1625.67","1627.49","1624.59","1625.09"
"NIFTY 10 YR BENCHMARK G-SEC","14 Dec 2017","1620.56","1625.36","1620.56","1625.36"
"NIFTY 10 YR BENCHMARK G-SEC","13 Dec 2017","1618.26","1620.26","1611.4","1620.26"
"NIFTY 10 YR BENCHMARK G-SEC","12 Dec 2017","1620.09","1620.09","1613.32","1617.95"
"NIFTY 10 YR BENCHMARK G-SEC","11 Dec 2017","1628.84","1629.51","1619.79","1619.79"
"NIFTY 10 YR BENCHMARK G-SEC","08 Dec 2017","1631.88","1631.88","1626.09","1627.90"
"NIFTY 10 YR BENCHMARK G-SEC","07 Dec 2017","1634.09","1636.41","1631.57","1631.57"
"NIFTY 10 YR BENCHMARK G-SEC","06 Dec 2017","1630.59","1633.78","1627.99","1633.78"
"NIFTY 10 YR BENCHMARK G-SEC","05 Dec 2017","1627.72","1631.23","1627.72","1630.28"
"NIFTY 10 YR BENCHMARK G-SEC","04 Dec 2017","1630.1","1630.1","1624.72","1627.41"
"NIFTY 10 YR BENCHMARK G-SEC","01 Dec 2017","1630.1","1630.1","1629.16","1629.16"
"NIFTY 10 YR BENCHMARK G-SEC","30 Nov 2017","1632.57","1632.57","1628.76","1628.85"
"NIFTY 10 YR BENCHMARK G-SEC","29 Nov 2017","1631.72","1633.41","1629.98","1632.26"
"NIFTY 10 YR BENCHMARK G-SEC","28 Nov 2017","1628.47","1631.86","1625.99","1631.41"
"NIFTY 10 YR BENCHMARK G-SEC","27 Nov 2017","1634.28","1634.28","1628.16","1628.16"
"NIFTY 10 YR BENCHMARK G-SEC","24 Nov 2017","1635.07","1635.07","1628.63","1633.35"
"NIFTY 10 YR BENCHMARK G-SEC","23 Nov 2017","1637.87","1639.61","1630.71","1634.77"
"NIFTY 10 YR BENCHMARK G-SEC","22 Nov 2017","1644.62","1644.62","1635.2","1637.56"
"NIFTY 10 YR BENCHMARK G-SEC","21 Nov 2017","1645.14","1645.72","1641.75","1644.32"
"NIFTY 10 YR BENCHMARK G-SEC","20 Nov 2017","1626.8","1644.83","1626.8","1644.83"
"NIFTY 10 YR BENCHMARK G-SEC","17 Nov 2017","1624.37","1638.6","1624.37","1625.87"
"NIFTY 10 YR BENCHMARK G-SEC","16 Nov 2017","1629.11","1629.19","1621.58","1624.07"
"NIFTY 10 YR BENCHMARK G-SEC","15 Nov 2017","1625.08","1628.8","1625.08","1628.80"
"NIFTY 10 YR BENCHMARK G-SEC","14 Nov 2017","1633.24","1633.24","1623.08","1624.77"
"NIFTY 10 YR BENCHMARK G-SEC","13 Nov 2017","1634.7","1634.7","1631.66","1632.95"
"NIFTY 10 YR BENCHMARK G-SEC","10 Nov 2017","1636.43","1638.43","1632.27","1633.78"
"NIFTY 10 YR BENCHMARK G-SEC","09 Nov 2017","1635.17","1637.89","1634.77","1636.14"
"NIFTY 10 YR BENCHMARK G-SEC","08 Nov 2017","1636.23","1637.5","1633.91","1634.87"
"NIFTY 10 YR BENCHMARK G-SEC","07 Nov 2017","1639.64","1639.64","1634.32","1635.93"
"NIFTY 10 YR BENCHMARK G-SEC","06 Nov 2017","1643.3","1643.3","1638.66","1639.34"
"NIFTY 10 YR BENCHMARK G-SEC","03 Nov 2017","1641.99","1643.51","1640.31","1642.39"
"NIFTY 10 YR BENCHMARK G-SEC","02 Nov 2017","1638.17","1642.33","1638.17","1641.69"
"NIFTY 10 YR BENCHMARK G-SEC","01 Nov 2017","1641.23","1641.23","1637.87","1637.87"
"NIFTY 10 YR BENCHMARK G-SEC","31 Oct 2017","1638.76","1641.77","1636.85","1640.93"
"NIFTY 10 YR BENCHMARK G-SEC","30 Oct 2017","1646.7","1646.7","1638.47","1638.47"
"NIFTY 10 YR BENCHMARK G-SEC","27 Oct 2017","1647.09","1647.09","1642.5","1646.09"
"NIFTY 10 YR BENCHMARK G-SEC","26 Oct 2017","-","-","-","1646.80"
"NIFTY 10 YR BENCHMARK G-SEC","25 Oct 2017","-","-","-","1644.82"
"NIFTY 10 YR BENCHMARK G-SEC","24 Oct 2017","-","-","-","1648.00"
"NIFTY 10 YR BENCHMARK G-SEC","23 Oct 2017","-","-","-","1645.74"
"NIFTY 10 YR BENCHMARK G-SEC","20 Oct 2017","-","-","-","1649.18"
"NIFTY 10 YR BENCHMARK G-SEC","19 Oct 2017","-","-","-","1648.88"
"NIFTY 10 YR BENCHMARK G-SEC","18 Oct 2017","-","-","-","1648.57"
"NIFTY 10 YR BENCHMARK G-SEC","17 Oct 2017","-","-","-","1647.97"
"NIFTY 10 YR BENCHMARK G-SEC","16 Oct 2017","-","-","-","1650.90"
"NIFTY 10 YR BENCHMARK G-SEC","13 Oct 2017","-","-","-","1649.96"
"NIFTY 10 YR BENCHMARK G-SEC","12 Oct 2017","-","-","-","1647.57"
"NIFTY 10 YR BENCHMARK G-SEC","11 Oct 2017","-","-","-","1648.63"
"NIFTY 10 YR BENCHMARK G-SEC","10 Oct 2017","-","-","-","1648.25"
"NIFTY 10 YR BENCHMARK G-SEC","09 Oct 2017","-","-","-","1643.64"
"NIFTY 10 YR BENCHMARK G-SEC","06 Oct 2017","-","-","-","1645.28"
"NIFTY 10 YR BENCHMARK G-SEC","05 Oct 2017","-","-","-","1648.18"
"NIFTY 10 YR BENCHMARK G-SEC","04 Oct 2017","-","-","-","1650.80"
