"Date","Price","Open","High","Low","Change %"
"17-05-2006","7.584","7.584","7.584","7.584","0.17%"
"16-05-2006","7.571","7.571","7.571","7.571","-0.26%"
"15-05-2006","7.591","7.591","7.591","7.591","0.61%"
"12-05-2006","7.545","7.545","7.545","7.545","0.17%"
"11-05-2006","7.532","7.532","7.532","7.532","0.43%"
"10-05-2006","7.500","7.500","7.500","7.500","0.13%"
"09-05-2006","7.490","7.490","7.490","7.490","-0.43%"
"08-05-2006","7.522","7.522","7.522","7.522","-0.20%"
"05-05-2006","7.537","7.537","7.537","7.537","0.03%"
"04-05-2006","7.535","7.535","7.535","7.535","0.37%"
"03-05-2006","7.507","7.507","7.507","7.507","0.47%"
"02-05-2006","7.472","7.472","7.472","7.472","1.11%"
"28-04-2006","7.390","7.390","7.390","7.390","-0.40%"
"27-04-2006","7.420","7.420","7.420","7.420","0.20%"
"26-04-2006","7.405","7.405","7.405","7.405","0.75%"
"25-04-2006","7.350","7.350","7.350","7.350","-0.10%"
"24-04-2006","7.357","7.357","7.357","7.357","0.26%"
"21-04-2006","7.338","7.338","7.338","7.338","-0.27%"
"20-04-2006","7.358","7.358","7.358","7.358","0.55%"
"19-04-2006","7.318","7.318","7.318","7.318","-2.91%"
"18-04-2006","7.537","7.537","7.537","7.537","-1.24%"
"17-04-2006","7.632","7.632","7.632","7.632","0.28%"
"13-04-2006","7.611","7.611","7.611","7.611","0.48%"
"12-04-2006","7.575","7.575","7.575","7.575","0.41%"
"10-04-2006","7.544","7.544","7.544","7.544","-0.03%"
"07-04-2006","7.546","7.546","7.546","7.546","0.11%"
"05-04-2006","7.538","7.538","7.538","7.538","-0.15%"
"04-04-2006","7.549","7.549","7.549","7.549","-0.11%"
"03-04-2006","7.557","7.557","7.557","7.557","0.09%"
"31-03-2006","7.550","7.550","7.550","7.550","0.76%"
"29-03-2006","7.493","7.493","7.493","7.493","0.85%"
"28-03-2006","7.430","7.430","7.430","7.430","-0.05%"
"27-03-2006","7.434","7.434","7.434","7.434","0.66%"
"24-03-2006","7.385","7.385","7.385","7.385","-0.11%"
"23-03-2006","7.393","7.393","7.393","7.393","0.04%"
"22-03-2006","7.390","7.390","7.390","7.390","0.20%"
"21-03-2006","7.375","7.375","7.375","7.375","-0.14%"
"20-03-2006","7.385","7.385","7.385","7.385","-0.08%"
"17-03-2006","7.391","7.391","7.391","7.391","-0.26%"
"16-03-2006","7.410","7.410","7.410","7.410","-0.08%"
"14-03-2006","7.416","7.416","7.416","7.416","0.04%"
"13-03-2006","7.413","7.413","7.413","7.413","0.05%"
"10-03-2006","7.409","7.409","7.409","7.409","0.27%"
"09-03-2006","7.389","7.389","7.389","7.389","-0.28%"
"08-03-2006","7.410","7.410","7.410","7.410","-0.34%"
"07-03-2006","7.435","7.435","7.435","7.435","-0.56%"
"06-03-2006","7.477","7.477","7.477","7.477","0.40%"
"03-03-2006","7.447","7.447","7.447","7.447","0.49%"
"02-03-2006","7.411","7.411","7.411","7.411","0.04%"
"01-03-2006","7.408","7.408","7.408","7.408","0.20%"
"28-02-2006","7.393","7.393","7.393","7.393","0.30%"
"27-02-2006","7.371","7.371","7.371","7.371","-0.24%"
"24-02-2006","7.389","7.389","7.389","7.389","0.14%"
"23-02-2006","7.379","7.379","7.379","7.379","0.18%"
"22-02-2006","7.366","7.366","7.366","7.366","0.31%"
"21-02-2006","7.343","7.343","7.343","7.343","-0.07%"
"20-02-2006","7.348","7.348","7.348","7.348","0.08%"
"17-02-2006","7.342","7.342","7.342","7.342","0.00%"
"16-02-2006","7.342","7.342","7.342","7.342","-0.43%"
